22,3,1,200 Meter Dash Women,,,,,,,
,198,1,Bello,Ameerah,Morgan State,,,,,,,,,,,,,
,316,2,Backus,LaKeisha,Texas,,,,,,,,,,,,,
,23,3,Jenkins,LaTasha,Ball State,,,,,,,,,,,,,
,349,4,Jones,Shakedia,UCLA,,,,,,,,,,,,,
,122,5,Ferguson,Debbie,Georgia,,,,,,,,,,,,,
,277,6,Edwards,Torri,Southern California,,,,,,,,,,,,,
,311,7,White,Kelli,Tennessee,,,,,,,,,,,,,
,104,8,Lawrence,Tayna,Florida International,,,,,,,,,,,,,
